x,y,z
2.973023986816406250e+01,1.942483544349670410e+00,1.370338439941406250e+00
2.987869644165039062e+01,1.951867580413818359e+00,1.370338439941406250e+00
3.002715301513671875e+01,1.961251497268676758e+00,1.370338439941406250e+00
3.017560768127441406e+01,1.970635533332824707e+00,1.370338439941406250e+00
3.032406234741210938e+01,1.980019450187683105e+00,1.370338439941406250e+00
3.047251701354980469e+01,1.989403486251831055e+00,1.370338439941406250e+00
3.062097358703613281e+01,1.998787403106689453e+00,1.370338439941406250e+00
3.076942825317382812e+01,2.008171319961547852e+00,1.370338439941406250e+00
3.091788291931152344e+01,2.017555475234985352e+00,1.370338439941406250e+00
3.106633949279785156e+01,2.026939392089843750e+00,1.370338439941406250e+00
3.121479415893554688e+01,2.036323308944702148e+00,1.370338439941406250e+00
3.136325073242187500e+01,2.045707225799560547e+00,1.370338439941406250e+00
3.151170349121093750e+01,2.055091381072998047e+00,1.370338439941406250e+00
3.166016006469726562e+01,2.064475297927856445e+00,1.370338439941406250e+00
3.180861473083496094e+01,2.073859214782714844e+00,1.370338439941406250e+00
3.195707130432128906e+01,2.083243131637573242e+00,1.370338439941406250e+00
3.210552597045898438e+01,2.092627286911010742e+00,1.370338439941406250e+00
3.225398254394531250e+01,2.102011203765869141e+00,1.370338439941406250e+00
3.240242004394531250e+01,2.111637353897094727e+00,1.370338439941406250e+00
3.255084609985351562e+01,2.121486902236938477e+00,1.370338439941406250e+00
3.269927215576171875e+01,2.131336688995361328e+00,1.370338439941406250e+00
3.284769439697265625e+01,2.141186237335205078e+00,1.370338439941406250e+00
3.299612045288085938e+01,2.151036262512207031e+00,1.370338439941406250e+00
3.314454650878906250e+01,2.160885572433471680e+00,1.370338439941406250e+00
3.329297256469726562e+01,2.170735359191894531e+00,1.370338439941406250e+00
3.344139480590820312e+01,2.180584907531738281e+00,1.370338439941406250e+00
3.358982086181640625e+01,2.190434694290161133e+00,1.370338439941406250e+00
3.373824310302734375e+01,2.200284481048583984e+00,1.370338439941406250e+00
3.388667297363281250e+01,2.210134267807006836e+00,1.370338439941406250e+00
3.403509521484375000e+01,2.219983816146850586e+00,1.370338439941406250e+00
3.418352127075195312e+01,2.229833602905273438e+00,1.370338439941406250e+00
3.433194732666015625e+01,2.239683389663696289e+00,1.370338439941406250e+00
3.448037338256835938e+01,2.249533176422119141e+00,1.370338439941406250e+00
3.462879562377929688e+01,2.259382724761962891e+00,1.370338439941406250e+00
3.477722167968750000e+01,2.269232511520385742e+00,1.370338439941406250e+00
3.492564773559570312e+01,2.279082059860229492e+00,1.370338439941406250e+00
3.507407379150390625e+01,2.288931846618652344e+00,1.370338439941406250e+00
3.522249603271484375e+01,2.298781633377075195e+00,1.370338439941406250e+00
3.537092208862304688e+01,2.308631420135498047e+00,1.370338559150695801e+00
3.551934814453125000e+01,2.318480968475341797e+00,1.370338439941406250e+00
3.566777038574218750e+01,2.328330516815185547e+00,1.370338439941406250e+00
3.581619644165039062e+01,2.338180303573608398e+00,1.370338439941406250e+00
3.596462249755859375e+01,2.348030090332031250e+00,1.370338439941406250e+00
